timestamp_epoch,power_w,gpu_util,mem_copy_util
1776522465.404946,35.831000,0,0
1776522467.605413,35.831000,0,0
1776522469.611027,35.831000,0,0
1776522471.624445,35.831000,0,0
1776522473.819771,35.831000,0,0
1776522475.829831,35.831000,0,0
1776522478.233538,35.831000,0,0
1776522480.443925,35.831000,0,0
1776522483.046493,35.831000,0,0
1776522485.058563,35.831000,0,0
1776522487.064894,35.831000,0,0
1776522489.129477,35.831000,0,0
1776522491.135326,35.831000,0,0
1776522493.263945,35.831000,0,0
1776522495.479101,35.831000,0,0
1776522497.485340,35.831000,0,0
1776522499.874017,35.831000,0,0
1776522501.888792,35.831000,0,0
1776522504.714466,35.831000,0,0
1776522506.904640,35.831000,0,0
1776522508.909059,35.831000,0,0
1776522511.100161,35.831000,0,0
1776522513.105284,35.831000,0,0
1776522515.162440,35.831000,0,0
1776522517.353603,35.831000,0,0
1776522519.386638,35.831000,0,0
1776522521.393927,35.831000,0,0
1776522523.616845,35.831000,0,0
1776522525.624422,35.734000,0,0
1776522527.644743,35.734000,0,0
1776522529.841047,35.734000,0,0
1776522531.851710,35.734000,0,0
1776522533.858939,35.734000,0,0
1776522536.113342,35.734000,0,0
1776522538.550673,35.734000,0,0
1776522540.796448,35.734000,0,0
1776522542.811324,35.734000,0,0
1776522544.820798,35.734000,0,0
1776522546.829094,35.734000,0,0
1776522549.030806,35.734000,0,0
1776522551.052036,35.734000,0,0
1776522553.345656,35.734000,0,0
1776522555.539281,35.831000,0,0
1776522557.548820,35.831000,0,0
1776522559.891470,35.831000,0,0
1776522562.042767,35.831000,0,0
1776522564.259567,35.831000,0,0
1776522566.459848,35.831000,0,0
1776522568.548547,35.831000,0,0
1776522570.573304,35.831000,0,0
1776522572.773004,35.831000,0,0
1776522574.789100,35.831000,0,0
1776522576.800959,35.831000,0,0
1776522578.998935,35.831000,0,0
1776522581.039947,35.831000,0,0
1776522583.251003,35.831000,0,0
1776522585.274894,35.929000,0,0
1776522587.281749,35.929000,0,0
1776522589.478999,35.929000,0,0
1776522591.505188,35.929000,0,0
1776522593.796404,35.929000,0,0
1776522595.989213,35.929000,0,0
1776522598.439102,35.929000,0,0
1776522600.450878,35.929000,0,0
1776522602.464867,35.929000,0,0
1776522604.374805,35.929000,0,0
1776522606.437463,35.929000,0,0
1776522608.500101,35.929000,0,0
