metric,value
benchmark_duration_s,4903.423220872879
idle_duration_s,59.69889688491821
avg_power_w,61.03018213814342
avg_idle_power_w,31.945785714285716
total_energy_j,299026.3451743131
net_serving_energy_j,142493.10653995897
energy_per_request_j,35.650014145598945
energy_per_output_token_j,0.06903903027687637
avg_gpu_util,83.25120985481742
avg_mem_copy_util,66.58468983721953
