timestamp_epoch,power_w,gpu_util,mem_copy_util
1776551885.449165,32.151000,0,0
1776551887.460480,32.151000,0,0
1776551889.468534,32.151000,0,0
1776551891.664395,32.151000,0,0
1776551894.292750,32.151000,0,0
1776551896.499260,31.859000,0,0
1776551898.703772,31.859000,0,0
1776551900.913539,31.859000,0,0
1776551902.928401,31.859000,0,0
1776551905.128143,31.859000,0,0
1776551907.681243,31.859000,0,0
1776551910.308830,31.859000,0,0
1776551912.704185,31.859000,0,0
1776551914.926321,31.859000,0,0
1776551917.323001,31.859000,0,0
1776551919.525638,31.859000,0,0
1776551921.744340,31.859000,0,0
1776551924.149339,31.859000,0,0
1776551926.345432,31.956000,0,0
1776551928.538515,31.956000,0,0
1776551930.555850,31.956000,0,0
1776551932.577297,31.956000,0,0
1776551934.781021,31.956000,0,0
1776551936.981927,31.956000,0,0
1776551938.989167,31.956000,0,0
1776551941.187242,31.956000,0,0
1776551943.082767,31.956000,0,0
1776551945.148062,31.956000,0,0
1776551947.161104,31.956000,0,0
1776551949.359993,31.956000,0,0
1776551951.367619,31.956000,0,0
1776551953.414571,31.956000,0,0
1776551955.661908,32.151000,0,0
1776551957.670444,32.151000,0,0
1776551959.684453,32.151000,0,0
1776551962.113145,32.151000,0,0
1776551964.903106,32.151000,0,0
1776551968.186437,32.151000,0,0
1776551970.470031,32.151000,0,0
1776551972.595246,32.151000,0,0
1776551974.980223,32.151000,0,0
1776551976.988421,32.151000,0,0
1776551978.997338,32.151000,0,0
1776551981.202104,32.151000,0,0
1776551983.145919,32.151000,0,0
1776551985.344705,31.859000,0,0
1776551987.357323,31.859000,0,0
1776551989.379870,31.859000,0,0
1776551991.631579,31.859000,0,0
1776551993.458700,31.859000,0,0
1776551995.473512,31.859000,0,0
1776551997.831079,31.859000,0,0
1776552000.633326,31.859000,0,0
1776552002.653673,31.859000,0,0
1776552004.865555,31.859000,0,0
1776552006.879005,31.859000,0,0
1776552009.077657,31.859000,0,0
1776552011.275670,31.859000,0,0
1776552013.424443,31.859000,0,0
1776552015.628327,63.105000,98,52
1776552017.643585,63.105000,98,52
1776552019.654524,63.105000,98,52
1776552021.668662,63.105000,98,52
1776552023.737153,63.105000,98,52
1776552025.945658,63.105000,98,52
1776552028.163226,63.105000,98,52
1776552030.176167,63.105000,98,52
1776552032.431512,63.105000,98,52
1776552034.868500,63.105000,98,52
1776552037.073529,63.105000,98,52
1776552039.086537,63.105000,98,52
1776552041.293194,63.105000,98,52
1776552043.318996,63.105000,98,52
1776552045.514693,64.110000,97,89
1776552047.523718,64.110000,97,89
1776552049.533910,64.110000,97,89
1776552052.127384,64.110000,97,89
1776552054.129231,64.110000,97,89
1776552056.535382,64.110000,97,89
1776552058.543193,64.110000,97,89
1776552060.555595,64.110000,97,89
1776552062.559476,64.110000,97,89
1776552064.616523,64.110000,97,89
1776552066.860651,64.110000,97,89
1776552069.452411,64.110000,97,89
1776552071.704512,64.110000,97,89
1776552074.289049,64.110000,97,89
1776552076.304477,66.195000,95,82
1776552078.309511,66.195000,95,82
1776552080.501534,66.195000,95,82
1776552083.472688,66.195000,95,82
1776552085.877994,66.195000,95,82
1776552088.173450,66.195000,95,82
1776552090.370576,66.195000,95,82
1776552092.383781,66.195000,95,82
1776552094.578326,66.195000,95,82
1776552096.773605,66.195000,95,82
1776552098.782113,66.195000,95,82
1776552100.797238,66.195000,95,82
1776552103.020570,66.195000,95,82
1776552105.024800,62.564000,96,44
1776552107.226881,62.564000,96,44
1776552109.422700,62.564000,96,44
1776552112.004777,62.564000,96,44
1776552114.195021,62.564000,96,44
1776552116.201139,62.564000,96,44
1776552118.329039,62.564000,96,44
1776552120.338289,62.564000,96,44
1776552122.532570,62.564000,96,44
1776552125.166546,62.564000,96,44
1776552127.171300,62.564000,96,44
1776552129.365345,62.564000,96,44
1776552131.375371,62.564000,96,44
1776552133.589381,62.564000,96,44
1776552135.597753,64.473000,96,86
1776552137.604894,64.473000,96,86
1776552139.803438,64.473000,96,86
1776552141.833194,64.473000,96,86
1776552144.027737,64.473000,96,86
1776552146.229903,64.473000,96,86
1776552148.651254,64.473000,96,86
1776552150.656460,64.473000,96,86
1776552152.667355,64.473000,96,86
1776552154.860044,64.473000,96,86
1776552157.059173,64.473000,96,86
1776552159.064487,64.473000,96,86
1776552161.129482,64.473000,96,86
1776552163.082484,64.473000,96,86
1776552165.095506,65.189000,97,84
1776552167.298436,65.189000,97,84
1776552169.685441,65.189000,97,84
1776552171.697586,65.189000,97,84
1776552173.890164,65.189000,97,84
1776552175.898618,65.189000,97,84
1776552178.206533,65.189000,97,84
1776552180.216428,65.189000,97,84
1776552182.293057,65.189000,97,84
1776552184.296754,65.189000,97,84
1776552186.491609,65.189000,97,84
1776552188.499353,65.189000,97,84
1776552190.693718,65.189000,97,84
1776552192.942717,65.189000,97,84
1776552195.574000,67.215000,96,87
1776552197.577888,67.215000,96,87
1776552199.583967,67.215000,96,87
1776552201.792699,67.215000,96,87
1776552203.993757,67.215000,96,87
1776552206.003075,67.215000,96,87
1776552208.156673,67.215000,96,87
1776552210.160866,67.215000,96,87
1776552212.366197,67.215000,96,87
1776552214.571967,67.215000,96,87
1776552216.576178,67.215000,96,87
1776552218.581463,67.215000,96,87
1776552220.639305,67.215000,96,87
1776552222.668449,67.215000,96,87
1776552225.467579,65.768000,98,73
1776552227.660280,65.768000,98,73
1776552229.664676,65.768000,98,73
1776552231.680205,65.768000,98,73
1776552233.738008,65.768000,98,73
1776552235.759119,65.768000,98,73
1776552238.129771,65.768000,98,73
1776552240.526677,65.768000,98,73
1776552242.531009,65.768000,98,73
1776552244.539294,65.768000,98,73
1776552246.791075,65.768000,98,73
1776552249.375258,65.768000,98,73
1776552251.627619,65.768000,98,73
1776552253.706680,65.768000,98,73
1776552255.714440,64.263000,97,85
1776552257.964895,64.263000,97,85
1776552260.018495,64.263000,97,85
1776552262.219280,64.263000,97,85
1776552264.227051,64.263000,97,85
1776552266.241454,64.263000,97,85
1776552268.586966,64.263000,97,85
1776552270.640982,64.263000,97,85
1776552272.836840,64.263000,97,85
1776552275.437911,64.263000,97,85
1776552277.446722,64.263000,97,85
1776552279.457352,64.263000,97,85
1776552281.517614,64.263000,97,85
1776552283.461411,64.263000,97,85
1776552285.659250,64.553000,97,84
1776552287.662526,64.553000,97,84
1776552289.663524,64.553000,97,84
1776552291.722248,64.553000,97,84
1776552293.916661,64.553000,97,84
1776552295.919603,64.553000,97,84
1776552298.359137,64.553000,97,84
1776552300.363709,64.553000,97,84
1776552302.377887,64.553000,97,84
1776552304.574862,64.553000,97,84
1776552306.583195,64.553000,97,84
1776552308.589365,64.553000,97,84
1776552310.784290,64.553000,97,84
1776552313.368530,64.553000,97,84
1776552315.753434,67.601000,97,87
1776552317.758041,67.601000,97,87
1776552320.005885,67.601000,97,87
1776552322.410604,67.601000,97,87
1776552324.604859,67.601000,97,87
1776552326.618382,67.601000,97,87
1776552328.631667,67.601000,97,87
1776552330.689588,67.601000,97,87
1776552333.112408,67.601000,97,87
1776552335.117649,67.601000,97,87
1776552337.320696,67.601000,97,87
1776552339.325843,67.601000,97,87
1776552341.337484,67.601000,97,87
1776552343.407391,67.601000,97,87
1776552345.414908,63.877000,97,82
1776552347.611381,63.877000,97,82
1776552349.814479,63.877000,97,82
1776552351.821319,63.877000,97,82
1776552353.833351,63.877000,97,82
1776552356.031800,63.877000,97,82
1776552358.311665,63.877000,97,82
1776552360.388448,63.877000,97,82
1776552363.099309,63.877000,97,82
1776552366.533111,63.877000,97,82
1776552369.813087,63.877000,97,82
1776552372.999073,63.877000,97,82
1776552375.626456,63.162000,96,85
1776552377.930502,63.162000,96,85
1776552380.725496,63.162000,96,85
1776552382.911783,63.162000,96,85
1776552385.022557,63.162000,96,85
1776552387.034302,63.162000,96,85
1776552389.091999,63.162000,96,85
1776552391.104123,63.162000,96,85
1776552393.466575,63.162000,96,85
1776552395.774246,63.162000,96,85
1776552397.783711,63.162000,96,85
1776552399.834048,63.162000,96,85
1776552401.990202,63.162000,96,85
1776552404.034589,63.162000,96,85
1776552406.238737,64.280000,97,87
1776552408.260836,64.280000,97,87
1776552410.270649,64.280000,97,87
1776552412.480219,64.280000,97,87
1776552414.673718,64.280000,97,87
1776552416.679713,64.280000,97,87
1776552418.887479,64.280000,97,87
1776552420.896049,64.280000,97,87
1776552422.902636,64.280000,97,87
1776552425.054355,64.280000,97,87
1776552427.063385,64.280000,97,87
1776552429.069913,64.280000,97,87
1776552431.411607,64.280000,97,87
1776552434.088531,64.280000,97,87
1776552436.093125,63.530000,99,84
1776552438.109598,63.530000,99,84
1776552440.314362,63.530000,99,84
1776552442.657318,63.530000,99,84
1776552445.255828,63.530000,99,84
1776552447.523500,63.530000,99,84
1776552450.122041,63.530000,99,84
1776552452.135309,63.530000,99,84
1776552454.142378,63.530000,99,84
1776552457.412144,63.530000,99,84
1776552460.830232,63.530000,99,84
1776552463.082477,63.530000,99,84
1776552465.611065,65.809000,94,83
1776552467.803927,65.809000,94,83
1776552471.449099,65.809000,94,83
1776552474.165790,65.809000,94,83
1776552476.361551,65.809000,94,83
1776552479.002712,65.809000,94,83
1776552481.199349,65.809000,94,83
1776552483.266076,65.809000,94,83
1776552485.549300,65.809000,94,83
1776552488.370419,65.809000,94,83
1776552490.576029,65.809000,94,83
1776552493.190421,65.809000,94,83
1776552495.575174,64.263000,97,73
1776552497.773256,64.263000,97,73
1776552499.805231,64.263000,97,73
1776552501.999733,64.263000,97,73
1776552504.009861,64.263000,97,73
1776552506.208852,64.263000,97,73
1776552508.278569,64.263000,97,73
1776552510.286805,64.263000,97,73
1776552512.675437,64.263000,97,73
1776552515.309941,64.263000,97,73
1776552517.321608,64.263000,97,73
1776552519.330633,64.263000,97,73
1776552521.339703,64.263000,97,73
1776552523.559930,64.263000,97,73
1776552526.149200,65.809000,99,59
1776552528.215959,65.809000,99,59
1776552530.221556,65.809000,99,59
1776552532.420973,65.809000,99,59
1776552534.618620,65.809000,99,59
1776552537.028905,65.809000,99,59
1776552539.034866,65.809000,99,59
1776552541.039710,65.809000,99,59
1776552543.237418,65.809000,99,59
1776552545.249230,65.809000,99,59
1776552547.261218,65.809000,99,59
1776552549.269181,65.809000,99,59
1776552551.331948,65.809000,99,59
1776552553.920173,65.809000,99,59
1776552556.323436,64.883000,96,42
1776552558.343131,64.883000,96,42
1776552560.353752,64.883000,96,42
1776552562.363095,64.883000,96,42
1776552564.611026,64.883000,96,42
1776552567.443279,64.883000,96,42
1776552569.690289,64.883000,96,42
1776552572.271905,64.883000,96,42
1776552574.473256,64.883000,96,42
1776552576.479456,64.883000,96,42
1776552578.483013,64.883000,96,42
1776552580.540201,64.883000,96,42
1776552582.568168,64.883000,96,42
1776552584.812560,64.690000,98,45
1776552586.877692,64.690000,98,45
1776552588.886308,64.690000,98,45
1776552590.899238,64.690000,98,45
1776552593.096042,64.690000,98,45
1776552595.105578,64.690000,98,45
1776552597.241645,64.690000,98,45
1776552599.727731,64.690000,98,45
1776552601.731332,64.690000,98,45
1776552603.941402,64.690000,98,45
1776552605.951759,64.690000,98,45
1776552608.147486,64.690000,98,45
1776552610.350869,64.690000,98,45
1776552612.561493,64.690000,98,45
1776552614.571688,66.871000,98,85
1776552616.629778,66.871000,96,85
1776552618.633669,66.871000,96,85
1776552620.834673,66.871000,96,85
1776552623.029114,66.871000,96,85
1776552625.099325,66.871000,96,85
1776552627.109241,66.871000,96,85
1776552629.118972,66.871000,96,85
1776552631.124974,66.871000,96,85
1776552633.131083,66.871000,96,85
1776552635.332226,66.871000,96,85
1776552637.339108,66.871000,96,85
1776552639.348047,66.871000,96,85
1776552641.356156,66.871000,96,85
1776552643.584281,66.871000,96,85
1776552645.787160,66.195000,97,85
1776552647.794400,66.195000,97,85
1776552649.807432,66.195000,97,85
1776552652.005683,66.195000,97,85
1776552654.210416,66.195000,97,85
1776552656.249943,66.195000,97,85
1776552658.363997,66.195000,97,85
1776552660.567193,66.195000,97,85
1776552662.586093,66.195000,97,85
1776552664.649441,66.195000,97,85
1776552666.853060,66.195000,97,85
1776552668.872255,66.195000,97,85
1776552670.883516,66.195000,97,85
1776552673.140346,66.195000,97,85
1776552675.163805,63.684000,95,83
1776552677.363549,63.684000,95,83
1776552679.384272,63.684000,95,83
1776552681.587790,63.684000,95,83
1776552683.469254,63.684000,95,83
1776552685.539837,63.684000,95,83
1776552688.109931,63.684000,95,83
1776552690.311325,63.684000,95,83
1776552692.339634,63.684000,95,83
1776552694.352739,63.684000,95,83
1776552696.426096,63.684000,95,83
1776552698.443028,63.684000,95,83
1776552700.455222,63.684000,95,83
1776552702.683218,63.684000,95,83
1776552704.718461,63.917000,97,64
1776552706.928921,63.917000,97,64
1776552709.138375,63.917000,97,64
1776552711.157096,63.917000,97,64
1776552713.080388,63.917000,97,64
1776552715.278881,63.917000,97,64
1776552717.543990,63.917000,97,64
1776552720.140259,63.917000,97,64
1776552722.161562,63.917000,97,64
1776552724.177936,63.917000,97,64
1776552726.263863,63.917000,97,64
1776552728.475743,63.917000,97,64
1776552730.485440,63.917000,97,64
1776552732.564289,63.917000,97,64
1776552735.198005,67.119000,97,81
1776552737.846799,67.119000,97,81
1776552740.508246,67.119000,97,81
1776552742.525623,67.119000,97,81
1776552744.532884,67.119000,97,81
1776552746.594618,67.119000,97,81
1776552748.607421,67.119000,97,81
1776552750.802212,67.119000,97,81
1776552752.882738,67.119000,97,81
1776552755.090727,67.119000,97,81
1776552757.102668,67.119000,97,81
1776552759.110909,67.119000,97,81
1776552761.310368,67.119000,97,81
1776552763.343774,67.119000,97,81
1776552765.542780,62.371000,96,43
1776552767.745974,62.371000,96,43
1776552769.762601,62.371000,96,43
1776552771.768544,62.371000,96,43
1776552773.987881,62.371000,96,43
1776552776.180501,62.371000,96,43
1776552778.269610,62.371000,96,43
1776552780.274900,62.371000,96,43
1776552782.471785,62.371000,96,43
1776552784.476460,62.371000,96,43
1776552786.537567,62.371000,96,43
1776552788.543344,62.371000,96,43
1776552790.553237,62.371000,96,43
1776552793.015348,62.371000,96,43
1776552795.019668,63.917000,97,86
1776552797.028512,63.917000,97,86
1776552799.223951,63.917000,97,86
1776552801.238429,63.917000,97,86
1776552803.074708,63.917000,97,86
1776552805.714206,63.917000,97,86
1776552807.894499,63.917000,97,86
1776552810.703789,63.917000,97,86
1776552812.885925,63.917000,97,86
1776552815.078758,63.917000,97,86
1776552817.286043,63.917000,97,86
1776552819.290484,63.917000,97,86
1776552821.298356,63.917000,97,86
1776552823.554900,63.917000,97,86
1776552826.133866,68.331000,97,86
1776552828.141804,68.331000,97,86
1776552830.333845,68.331000,97,86
1776552832.347475,68.331000,97,86
1776552834.546286,68.331000,97,86
1776552836.557271,68.331000,97,86
1776552838.568002,68.331000,97,86
1776552840.822693,68.331000,97,86
1776552842.828341,68.331000,97,86
1776552845.023003,68.331000,97,86
1776552847.028292,68.331000,97,86
1776552849.091130,68.331000,97,86
1776552851.098142,68.331000,97,86
1776552853.401323,68.331000,97,86
1776552855.418041,66.485000,96,82
1776552857.425619,66.485000,96,82
1776552859.617637,66.485000,96,82
1776552861.812524,66.485000,96,82
1776552863.830611,66.485000,96,82
1776552865.837357,66.485000,96,82
1776552868.203372,66.485000,96,82
1776552870.213038,66.485000,96,82
1776552873.008501,66.485000,96,82
1776552875.012187,66.485000,96,82
1776552877.019094,66.485000,96,82
1776552879.219907,66.485000,96,82
1776552881.242237,66.485000,96,82
1776552883.276220,66.485000,96,82
1776552885.474528,65.809000,95,83
1776552887.675576,65.809000,95,83
1776552889.682007,65.809000,95,83
1776552891.876371,65.809000,95,83
1776552893.883903,65.809000,95,83
1776552895.949932,65.809000,95,83
1776552898.292273,65.809000,95,83
1776552900.303230,65.809000,95,83
1776552902.511290,65.809000,95,83
1776552904.569151,65.809000,95,83
1776552906.578396,65.809000,95,83
1776552908.777445,65.809000,95,83
1776552910.787017,65.809000,95,83
1776552913.354323,65.809000,95,83
1776552915.364379,66.871000,97,88
1776552917.564649,66.871000,97,88
1776552919.573076,66.871000,97,88
1776552922.168388,66.871000,97,88
1776552924.177391,66.871000,97,88
1776552926.192321,66.871000,97,88
1776552928.630990,66.871000,97,88
1776552930.833387,66.871000,97,88
1776552932.844895,66.871000,97,88
1776552935.152968,66.871000,97,88
1776552937.161309,66.871000,97,88
1776552939.167805,66.871000,97,88
1776552941.371318,66.871000,97,88
1776552943.382491,66.871000,97,88
1776552945.576725,65.712000,97,83
1776552947.589216,65.712000,97,83
1776552949.598847,65.712000,97,83
1776552951.796579,65.712000,97,83
1776552953.992132,65.712000,97,83
1776552956.007093,65.712000,97,83
1776552958.222489,65.712000,97,83
1776552960.419503,65.712000,97,83
1776552962.621259,65.712000,97,83
1776552964.819448,65.712000,97,83
1776552966.825939,65.712000,97,83
1776552968.884147,65.712000,97,83
1776552971.135246,65.712000,97,83
1776552973.127526,65.712000,97,83
1776552975.327856,64.996000,96,45
1776552977.392257,64.996000,96,45
1776552979.401845,64.996000,96,45
1776552981.414569,64.996000,96,45
1776552983.425664,64.996000,96,45
1776552985.621217,64.996000,96,45
1776552987.956279,64.996000,96,45
1776552989.966318,64.996000,96,45
1776552992.016150,64.996000,96,45
1776552994.211263,64.996000,96,45
1776552996.254110,64.996000,96,45
1776552998.454966,64.996000,96,45
1776553000.459778,64.996000,96,45
1776553002.525330,64.996000,96,45
1776553004.725088,66.250000,96,40
1776553006.937040,66.250000,96,40
1776553008.948604,66.250000,96,40
1776553010.957578,66.250000,96,40
1776553013.157548,66.250000,96,40
1776553015.165322,66.250000,96,40
1776553017.496474,66.250000,96,40
1776553019.520735,66.250000,96,40
1776553021.530582,66.250000,96,40
1776553023.647314,66.250000,96,40
1776553025.662688,66.250000,96,40
1776553027.676578,66.250000,96,40
1776553029.872489,66.250000,96,40
1776553032.457773,66.250000,96,40
1776553034.472411,66.250000,96,40
1776553036.478850,64.093000,95,84
1776553038.675397,64.093000,95,84
1776553040.869803,64.093000,95,84
1776553042.887216,64.093000,95,84
1776553045.089668,64.093000,95,84
1776553047.355698,64.093000,95,84
1776553049.947483,64.093000,95,84
1776553051.957255,64.093000,95,84
1776553053.966114,64.093000,95,84
1776553056.165615,64.093000,95,84
1776553058.363682,64.093000,95,84
1776553060.564222,64.093000,95,84
1776553062.803420,64.093000,95,84
1776553064.996570,64.537000,95,70
1776553067.054291,64.537000,95,70
1776553069.109122,64.537000,95,70
1776553071.114475,64.537000,95,70
1776553073.555346,64.537000,95,70
1776553075.568163,64.537000,95,70
1776553077.720737,64.537000,95,70
1776553080.154680,64.537000,95,70
1776553082.555461,64.537000,95,70
1776553084.563531,64.537000,95,70
1776553086.755756,64.537000,95,70
1776553088.808563,64.537000,95,70
1776553090.865327,64.537000,95,70
1776553093.162435,64.537000,95,70
1776553095.356364,65.092000,97,81
1776553097.556791,65.092000,97,81
1776553099.755538,65.092000,97,81
1776553101.951683,65.092000,97,81
1776553104.002098,65.092000,97,81
1776553106.202166,65.092000,97,81
1776553108.663271,65.092000,97,81
1776553110.665965,65.092000,97,81
1776553112.677886,65.092000,97,81
1776553114.872803,65.092000,97,81
1776553117.069292,65.092000,97,81
1776553119.077799,65.092000,97,81
1776553121.664218,65.092000,97,81
1776553124.275442,65.092000,97,81
1776553126.338148,63.684000,97,81
1776553128.536669,63.684000,97,81
1776553130.733269,63.684000,97,81
1776553132.884657,63.684000,97,81
1776553134.890096,63.684000,97,81
1776553136.906163,63.684000,97,81
1776553139.099628,63.684000,97,81
1776553141.738481,63.684000,97,81
1776553144.475773,63.684000,97,81
1776553146.482233,63.684000,97,81
1776553148.491532,63.684000,97,81
1776553150.555722,63.684000,97,81
1776553152.730780,63.684000,97,81
1776553154.927840,66.195000,97,84
1776553156.938738,66.195000,97,84
1776553159.131750,66.195000,97,84
1776553161.339166,66.195000,97,84
1776553163.539731,66.195000,97,84
1776553165.547194,66.195000,97,84
1776553167.634397,66.195000,97,84
1776553169.638756,66.195000,97,84
1776553171.834219,66.195000,97,84
1776553173.839215,66.195000,97,84
1776553175.853690,66.195000,97,84
1776553178.050991,66.195000,97,84
1776553180.061150,66.195000,97,84
1776553182.070920,66.195000,97,84
1776553184.275908,66.195000,97,84
1776553186.474337,67.257000,93,39
1776553188.485768,67.257000,93,39
1776553190.492576,67.257000,93,39
1776553192.556600,67.257000,93,39
1776553195.190743,67.257000,93,39
1776553197.408007,67.257000,93,39
1776553199.609956,67.257000,93,39
1776553201.620863,67.257000,93,39
1776553203.649658,67.257000,93,39
1776553205.658850,67.257000,93,39
1776553207.673764,67.257000,93,39
1776553209.871624,67.257000,93,39
1776553211.881652,67.257000,93,39
1776553213.943658,67.257000,93,39
1776553215.959261,62.313000,97,68
1776553218.157453,62.313000,97,68
1776553220.166202,62.313000,97,68
1776553222.176254,62.313000,97,68
1776553224.375503,62.313000,97,68
1776553226.382721,62.313000,97,68
1776553228.637163,62.313000,97,68
1776553230.648024,62.313000,97,68
1776553232.669996,62.313000,97,68
1776553234.868799,62.313000,97,68
1776553237.459780,62.313000,97,68
1776553240.049661,62.313000,97,68
1776553242.259840,62.313000,97,68
1776553244.269534,62.313000,97,68
1776553246.298480,65.850000,98,80
1776553248.309504,65.850000,98,80
1776553250.375327,65.850000,98,80
1776553252.641258,65.850000,98,80
1776553254.699995,65.850000,98,80
1776553257.775407,65.850000,98,80
1776553259.785264,65.850000,98,80
1776553261.996436,65.850000,98,80
1776553264.190736,65.850000,98,80
1776553266.392674,65.850000,98,80
1776553268.586462,65.850000,98,80
1776553270.602703,65.850000,98,80
1776553272.979370,65.850000,98,80
1776553275.224625,65.229000,97,83
1776553277.423476,65.229000,97,83
1776553279.434534,65.229000,97,83
1776553281.438612,65.229000,97,83
1776553283.640419,65.229000,97,83
1776553285.657864,65.229000,97,83
1776553287.918342,65.229000,97,83
1776553289.928780,65.229000,97,83
1776553292.157127,65.229000,97,83
1776553294.162410,65.229000,97,83
1776553296.165517,65.229000,97,83
1776553298.358399,65.229000,97,83
1776553300.366778,65.229000,97,83
1776553302.423529,65.229000,97,83
1776553304.616079,65.519000,97,53
1776553306.621187,65.519000,97,53
1776553308.631096,65.519000,97,53
