metric,value
benchmark_duration_s,6537.294084072113
idle_duration_s,59.075352907180786
avg_power_w,60.16965799868335
avg_idle_power_w,35.108357142857145
total_energy_j,393433.70411849784
net_serving_energy_j,166921.51567375447
energy_per_request_j,40.81210652170036
energy_per_output_token_j,0.15942229110039202
avg_gpu_util,81.60994075049375
avg_mem_copy_util,49.09776168531929
